00151	keep	shrine			
00152	keep	shrine			
00153	keep	festival			
00154	keep	shrine			
00155	keep	shrine			
00156	keep	shrine			
00157	keep	shrine			
00158	keep	shrine			
00159	keep	shrine			
00160	keep	shrine			
00161	keep	shrine			
00162	keep	shrine			
00163	keep	shrine			
00164	keep	shrine			
00165	keep	shrine			
00166	keep	folk			
00167	keep	shrine			
00168	keep	festival			
00169	keep	temple			
00170	keep	seasonal			
00171	keep	seasonal			
00172	keep	shrine			
00173	keep	shrine			
00174	keep	shrine			
00175	keep	temple			
00176	keep	shrine			
00177	keep	shrine			
00178	keep	shrine			
00179	keep	shrine			
00180	keep	shrine			
00181	keep	temple			
00182	keep	shrine			
00183	keep	shrine			
00184	keep	shrine			
00185	keep	festival			
00186	keep	temple			
00187	keep	shrine			
00188	keep	shrine			
00189	keep	shrine			
00190	keep	shrine			
00191	keep	shrine			
00192	keep	shrine			
00193	keep	shrine			
00194	keep	shrine			
00195	keep	shrine			
00196	keep	shrine			
00197	keep	shrine			
00198	keep	shrine			
00199	keep	shrine			
00200	drop	fragment			
00201	keep	shrine			
00202	keep	temple			
00203	keep	shrine			
00204	keep	shrine			
00205	keep	market			
00206	drop	organization			
00207	keep	shrine			
00208	keep	market			
00209	drop	venue_only			
00210	keep	shrine			
00211	drop	organization			
00212	drop	venue_only			
00213	drop	venue_only			
00214	keep	shrine			
00215	keep	shrine			
00216	keep	shrine			
00217	keep	shrine			
00218	keep	shrine			
00219	drop	fragment			
00220	unsure				
00221	drop	fragment			
00222	keep	fireworks			
00223	keep	fireworks			
00224	unsure				
00225	keep	shrine			
00226	keep	festival			
00227	keep	festival			
00228	keep	festival			
00229	keep	temple			
00230	keep	shrine			
00231	drop	fragment			
00232	keep	shrine			
00233	keep	temple			
00234	keep	temple			
00235	unsure				
00236	keep	fireworks			
00237	keep	festival			
00238	keep	festival			
00239	keep	festival			
00240	unsure				
00241	keep	festival			
00242	drop	fragment			
00243	drop	fragment			
00244	keep	festival			
00245	drop	organization			
00246	drop	fragment			
00247	drop	fragment			
00248	keep	festival			
00249	drop	fragment			
00250	keep	shrine			
00251	keep	citizen			
00252	keep	fireworks			
00253	drop	organization			
00254	unsure				
00255	keep	shrine			
00256	keep	citizen			
00257	keep	citizen			
00258	keep	fireworks			
00259	keep	shrine			
00260	drop	fragment			
00261	drop	organization			
00262	drop	organization			
00263	drop	organization			
00264	drop	organization			
00265	drop	organization			
00266	keep	festival			
00267	keep	temple			
00268	drop	fragment			
00269	drop	fragment			
00270	drop	fragment			
00271	drop	fragment			
00272	drop	fragment			
00273	keep	seasonal			
00274	keep	festival			
00275	unsure				
00276	drop	fragment			
00277	keep	festival			
00278	keep	folk			
00279	keep	festival			
00280	keep	citizen			
00281	keep	seasonal			
00282	keep	market			
00283	keep	market			
00284	keep	shrine			
00285	keep	festival			
00286	keep	citizen			
00287	drop	fragment			
00288	keep	folk			
00289	keep	market			
00290	unsure				
00291	keep	festival			
00292	keep	festival			
00293	keep	citizen			
00294	keep	festival			
00295	keep	temple			
00296	keep	festival			
00297	drop	fragment			
00298	keep	festival			
00299	keep	festival			
00300	keep	seasonal			
